ORI,AGENCY,Govt_level,placename,CNTY,POP100,White_count,Black_count,Other_count,Hispan_allcount,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Other_Males_All,Age1524_OtherM,Age1524_OtherF,Other_Females_All,Pct_WYM,Pct_WYF,POP,STATEFP,place_fips
AL00500,BALDWIN,1,Baldwin County,3.0,98280,83800,12592,866,1022,5289,41355,5073,43210,1062,5902,1191,6738,500,83,72,522,122,23,14,102,0.127892636924193,0.117403378847489,57926.0,1,99003
AL00600,BARBOUR,1,Barbour County,5.0,25417,14054,11156,83,124,953,6901,887,7217,886,5136,934,6058,63,7,10,61,6,1,1,9,0.138095928126358,0.12290425384508802,10633.0,1,99005
AL00800,BLOUNT,1,Blount County,9.0,39248,38275,519,168,286,2893,18731,2755,19666,40,243,39,278,188,69,24,98,114,41,13,50,0.154449842507074,0.140089494559138,32245.0,1,99009
AL01000,BUTLER,1,Butler County,13.0,21892,13001,8783,43,65,786,6172,727,6877,717,4043,770,4755,22,7,8,43,2,1,0,0,0.12734931950745298,0.105714701177839,12467.0,1,99013
AL01200,CHAMBERS,1,Chambers County,17.0,36876,23510,13187,52,127,1567,11238,1504,12337,1202,6103,1236,7118,54,14,14,73,17,8,2,9,0.139437622352732,0.121909702520872,16567.0,1,99017
AL01300,CHEROKEE,1,Cherokee County,19.0,19543,18118,1291,77,57,1365,8926,1212,9228,106,636,114,655,33,8,5,24,15,5,2,8,0.152924042124132,0.131339401820546,15476.0,1,99019
AL01400,CHILTON,1,Chilton County,21.0,32458,28577,3664,101,116,2053,13928,1995,14719,304,1771,320,1903,54,11,11,62,24,6,3,12,0.14740091901206198,0.13553909912358195,20701.0,1,99021
AL01500,CHOCTAW,1,Choctaw County,23.0,16018,8889,7052,24,53,643,4314,625,4599,553,3267,643,3810,21,1,8,32,2,0,1,4,0.149049605934168,0.135899108501848,14146.0,1,99023
AL01800,CLEBURNE COUNTY,1,Cleburne County,29.0,12730,12072,587,33,38,938,5952,864,6132,46,270,48,317,23,5,1,15,18,2,0,8,0.157594086021505,0.140900195694716,9824.0,1,99029
AL01900,COFFEE,1,Coffee County,31.0,40240,32396,6903,470,471,2425,16135,2215,16567,582,3269,611,3648,250,47,40,221,84,15,13,57,0.150294391075302,0.133699523148428,14922.0,1,99031
AL02000,COLBERT,1,Colbert County,33.0,51666,42701,8545,233,187,2992,20796,2702,22024,609,3861,720,4707,97,18,16,90,25,6,3,23,0.14387382188882505,0.122684344351616,19870.0,1,99033
AL02200,COOSA,1,Coosa County,37.0,11063,7230,3776,39,18,463,3557,464,3685,361,1854,367,1928,6,1,3,12,1,1,0,0,0.130165870115266,0.12591587516960698,9223.0,1,99037
AL02400,CRENSHAW,1,Crenshaw County,41.0,13635,10027,3542,36,30,657,4834,618,5214,292,1611,310,1933,16,5,2,14,3,1,1,2,0.135912287960281,0.118527042577675,10065.0,1,99041
AL02600,DALE,1,Dale County,45.0,49633,38690,8767,961,1215,3809,20214,2881,19151,846,4238,844,4609,629,128,117,586,242,60,42,209,0.188433758781043,0.150436008563521,25231.0,1,99045
AL02700,DALLAS,1,Dallas County,47.0,48130,20054,27768,177,131,1259,9510,1192,10611,2352,12336,2650,15489,53,14,18,78,6,2,5,8,0.132386961093586,0.112336254829894,24375.0,1,99047
AL02800,DE KALB,1,DeKalb County,49.0,54651,52854,1023,559,215,3900,25582,3664,27398,109,483,82,545,117,23,18,98,55,16,3,30,0.152450942068642,0.133732389225491,38938.0,1,99049
AL03200,FAYETTE,1,Fayette County,57.0,17962,15666,2190,28,78,1113,7537,1115,8180,162,996,184,1194,55,14,7,23,23,9,0,4,0.14767148732917598,0.136308068459658,9364.0,1,99057
AL03300,FRANKLIN,1,Franklin County,59.0,27814,26375,1247,91,101,1897,12662,1769,13801,105,583,105,666,51,4,7,50,6,0,1,4,0.149818354130469,0.12817911745525698,15234.0,1,99059
AL03400,GENEVA,1,Geneva County,61.0,23647,20604,2817,105,121,1486,10028,1322,10654,266,1294,257,1530,71,20,11,50,20,6,2,13,0.14818508177104098,0.12408485076027803,12422.0,1,99061
AL03500,GREENE,1,Greene County,63.0,10153,1966,8160,3,24,105,978,87,988,584,3678,679,4503,14,6,0,10,1,1,0,2,0.107361963190184,0.0880566801619433,7872.0,1,99063
AL03700,HENRY,1,Henry County,67.0,15374,9878,5368,36,92,641,4746,614,5172,465,2493,486,2902,39,6,10,53,16,3,2,8,0.135061104087653,0.118716163959783,8935.0,1,99067
AL03800,HOUSTON,1,Houston County,69.0,81331,61233,18900,734,464,4143,29611,4095,31902,1528,8599,1720,10355,215,32,27,249,47,11,7,60,0.139914221066496,0.128361858190709,24431.0,1,99069
AL03900,JACKSON,1,Jackson County,71.0,47796,44531,1957,1100,208,3312,21630,3166,23066,158,904,181,1064,109,20,7,99,14,2,1,8,0.153120665742025,0.137258302263071,28112.0,1,99071
AL04100,LAUDERDALE,1,Lauderdale County,77.0,79661,71310,7677,361,313,5369,34321,5467,37239,705,3470,784,4225,144,31,23,169,18,3,3,27,0.156434835814807,0.146808453503048,42188.0,1,99077
AL04200,LAWRENCE,1,Lawrence County,79.0,31513,24483,4790,2138,102,1894,12211,1843,12352,501,2253,451,2545,55,10,7,47,7,0,0,2,0.1551060519204,0.149206606217617,25496.0,1,99079
AL04300,LEE,1,Lee County,81.0,87146,64527,20359,1708,552,11307,32778,10184,32111,1885,9402,2011,11005,298,126,93,254,77,29,21,57,0.34495698334248603,0.317149886331787,31194.0,1,99081
AL04400,LIMESTONE,1,Limestone County,83.0,54135,46468,7106,300,261,3474,23096,3339,23562,681,3785,558,3342,157,30,21,104,29,8,1,15,0.15041565639071694,0.14171122994652402,36144.0,1,99083
AL04500,LOWNDES,1,Lowndes County,85.0,12658,3177,9408,13,60,155,1519,164,1666,869,4339,899,5117,31,6,7,29,1,0,0,2,0.102040816326531,0.0984393757503001,12658.0,1,99085
AL04600,MACON,1,Macon County,87.0,24928,3429,21290,106,103,222,1723,216,1720,2579,9748,2840,11592,52,16,13,51,13,6,1,9,0.128845037724898,0.12558139534883694,11692.0,1,99087
AL04800,MARENGO,1,Marengo County,91.0,23084,11279,11707,23,75,705,5485,706,5829,997,5392,1055,6353,41,2,2,34,0,0,0,3,0.12853236098450302,0.121118545205009,12527.0,1,99091
AL00200,MOBILE,1,Mobile County,97.0,378643,252660,117509,5310,3164,18206,123154,18607,131699,8990,53475,9952,64397,1563,288,270,1601,310,81,55,270,0.147831170729331,0.141284292211786,115041.0,1,99097
AL05300,PERRY,1,Perry County,105.0,12759,4496,8196,31,36,467,2167,426,2336,710,3753,746,4466,19,9,2,17,6,4,1,1,0.21550530687586494,0.18236301369863,6818.0,1,99105
AL05400,PICKENS COUNTY,1,Pickens County,107.0,20699,11973,8625,51,50,755,5857,712,6145,622,3787,762,4858,19,2,3,31,0,0,0,1,0.128905583063002,0.11586655817738,13667.0,1,99107
AL05500,PIKE,1,Pike County,109.0,27595,17760,9513,214,108,2142,8613,2112,9201,928,4204,1105,5344,52,21,22,56,12,7,5,7,0.24869383490073105,0.229540267362243,12072.0,1,99109
AL05600,RANDOLPH,1,Randolph County,111.0,19881,15104,4672,52,53,1063,7392,968,7746,436,2204,413,2482,28,7,5,25,5,2,0,2,0.14380411255411302,0.124967725277563,13519.0,1,99111
AL05700,RUSSELL,1,Russell County,113.0,46860,28311,18041,207,301,2025,13877,1971,14596,1523,8374,1562,9714,160,22,27,141,49,7,8,43,0.145924911724436,0.13503699643738,20841.0,1,99113
AL05800,ST CLAIR,1,St. Clair County,115.0,50009,45038,4545,217,209,3232,22513,3115,22625,405,2441,383,2120,110,32,22,99,57,18,6,40,0.14356149780126998,0.13767955801104995,33010.0,1,99115
AL06000,SUMTER,1,Sumter County,119.0,16174,4745,11313,38,78,543,2303,495,2456,1015,5141,1104,6228,38,13,15,40,6,3,2,4,0.23577941815023895,0.201547231270358,9484.0,1,99119
AL06100,TALLADEGA,1,Talladega County,121.0,74107,50696,22620,301,490,3580,24807,3462,26163,2189,10768,2418,12005,386,15,12,104,52,5,4,25,0.144314104889749,0.132324274739135,35892.0,1,99121
AL06200,,1,Tallapoosa County,123.0,38826,28461,10187,107,71,1882,13617,1857,14876,912,4594,1033,5618,34,10,4,37,12,3,3,10,0.13820959095248594,0.124831944070987,,1,99123
AL06300,TUSCALOOSA,1,Tuscaloosa County,125.0,150522,108801,39272,1501,948,12074,53872,11916,55526,3571,17804,4472,21573,517,157,93,431,150,56,26,80,0.224123849123849,0.214602168353564,55357.0,1,99125
AL06700,WINSTON,1,Winston County,133.0,22053,21871,57,66,59,1618,10707,1553,11218,3,23,5,34,35,2,3,24,1,0,1,2,0.151116092276081,0.13843822428240302,16975.0,1,99133
AL00102,BIRMINGHAM,2,Birmingham city,,265968,95123,168002,1805,1038,6255,44808,6465,50847,12354,75573,13753,92704,531,109,93,507,119,35,27,118,0.139595607927156,0.12714614431529905,265968.0,1,7000
AL00301,MONTGOMERY,2,Montgomery city,,187106,104899,78991,1712,1504,6684,50364,6873,55414,7222,35745,8280,43472,776,127,144,728,204,32,36,181,0.132713843221349,0.12403002851265,187106.0,1,51000
AL04701,HUNTSVILLE,2,Huntsville city,,159789,114799,38801,4210,1979,7940,57096,7522,58969,4513,18258,5087,20758,1017,187,154,962,242,52,36,218,0.139064032506655,0.127558547711509,159789.0,1,37000
AL03801,DOTHAN,2,Dothan city,,53589,38096,14599,535,359,2443,18246,2453,20066,1146,6595,1325,8044,165,25,23,194,33,8,6,45,0.133892359969308,0.122246586265324,53589.0,1,21184
AL05201,DECATUR,2,Decatur city,,48761,39933,8002,440,386,2420,19204,2563,20976,694,3700,716,4338,195,36,25,191,68,11,7,44,0.12601541345553,0.122187261632342,48761.0,1,20104
AL00112,HOOVER,2,Hoover city,,39788,37589,1314,519,366,2262,17938,2559,19948,95,599,100,719,166,21,27,200,36,6,4,27,0.126101014605865,0.128283537196711,39788.0,1,35896
AL04101,FLORENCE,2,Florence city,,36426,29791,6202,254,179,2366,13788,2573,16134,561,2754,667,3465,81,25,16,98,10,3,3,20,0.171598491441833,0.15947688112061498,36426.0,1,26896
AL00202,PRICHARD,2,Prichard city,,34311,6867,27189,142,113,494,3283,566,3626,2102,12248,2349,15001,62,15,8,51,13,4,0,2,0.150472129150168,0.15609487038058498,34311.0,1,62496
AL04301,AUBURN,2,Auburn city,,33830,26803,5521,1192,314,7904,13850,7243,13166,708,2541,708,2990,170,91,76,144,48,20,15,37,0.570685920577617,0.550129120461796,33830.0,1,3076
AL00101,BESSEMER,2,Bessemer city,,33497,13827,19536,58,76,828,6449,793,7423,1498,8716,1614,10836,39,2,5,37,7,1,2,7,0.128391998759498,0.106830122591944,33497.0,1,5980
AL01101,ANNISTON,2,Anniston city,,26623,14418,11769,224,212,799,6679,747,7830,946,5308,1022,6493,116,23,11,96,43,11,4,40,0.119628686929181,0.0954022988505747,26623.0,1,1852
AL05701,PHENIX CITY,2,Phenix City city,,25312,14946,10094,118,154,1028,7070,1018,7974,802,4582,904,5536,83,13,21,71,18,2,5,13,0.145403111739745,0.127664910960622,25312.0,1,59472
AL02701,SELMA,2,Selma city,,23755,9693,13865,129,68,550,4356,550,5383,1138,6019,1359,7863,32,7,9,36,4,2,4,6,0.126262626262626,0.102173509195616,23755.0,1,69120
AL00110,HOMEWOOD,2,Homewood city,,22922,20483,1885,363,191,1677,9309,2114,11321,179,823,181,1064,92,12,20,99,26,6,13,26,0.180148243635192,0.186732620793216,22922.0,1,35800
AL04302,OPELIKA,2,Opelika city,,22122,13111,8628,309,74,947,6345,936,6795,668,3847,792,4809,32,10,6,42,9,2,2,9,0.14925137903861302,0.137748344370861,22122.0,1,57048
AL01902,ENTERPRISE,2,Enterprise city,,20123,15140,4252,328,403,1161,7577,1097,7821,336,1960,382,2305,214,41,37,189,69,13,12,51,0.15322687079319,0.14026339342795002,20123.0,1,24184
AL00103,MOUNTAIN BROOK,2,Mountain Brook city,,19810,19515,35,140,120,901,9166,976,10454,2,14,2,24,65,9,5,55,5,2,0,7,0.0982980580405848,0.0933613927683183,19810.0,1,51696
AL00109,VESTAVIA HILLS,2,Vestavia Hills city,,19749,19060,223,317,149,1104,8873,1114,10303,12,95,18,128,74,19,14,75,21,4,6,21,0.124422405049025,0.10812384742308097,19749.0,1,78552
AL00401,PRATTVILLE,2,Prattville city,,19587,16552,2718,164,153,1154,8197,1091,8457,267,1257,287,1473,77,8,8,76,21,2,0,16,0.140783213370745,0.12900555752631,19587.0,1,62328
AL06102,TALLADEGA,2,Talladega city,,18175,10424,7300,96,355,720,5281,659,5326,738,3566,946,3863,337,10,3,18,40,4,4,9,0.136337814807802,0.12373263236950803,18175.0,1,74592
AL06302,NORTHPORT,2,Northport city,,17366,13152,3962,188,64,984,6156,1050,7035,294,1725,381,2239,37,11,2,27,21,7,0,5,0.159844054580897,0.149253731343284,17366.0,1,55200
AL04401,ATHENS,2,Athens city,,16901,13634,3030,160,77,917,6419,944,7268,256,1402,262,1639,42,7,11,35,5,1,0,3,0.14285714285714302,0.129884424876169,16901.0,1,2956
AL00119,HUEYTOWN,2,Hueytown city,,15280,13180,2025,43,32,860,6326,835,6878,178,972,163,1057,16,1,0,16,0,0,0,2,0.13594688586784698,0.121401570223902,15280.0,1,36448
AL06201,ALEXANDER CITY,2,Alexander City city,,14917,10678,4175,46,18,675,4966,663,5718,374,1802,470,2382,8,2,0,10,3,0,1,3,0.135924285138945,0.11594963273872,14917.0,1,1132
AL04702,MADISON,2,Madison city,,14904,13040,1157,459,248,737,6753,776,6456,62,542,76,622,121,9,14,127,26,1,0,28,0.109136679994077,0.12019826517967802,14904.0,1,45784
AL05904,ALABASTER,2,Alabaster city,,14732,12957,1617,78,80,795,6386,786,6646,151,756,163,861,34,5,7,46,3,0,0,2,0.12449107422486698,0.11826662654228097,14732.0,1,820
AL05001,ALBERTVILLE,2,Albertville city,,14507,14194,182,54,77,985,6593,1036,7674,24,83,14,99,41,4,4,36,1,0,0,2,0.14940087972091598,0.13500130310138098,14507.0,1,988
AL03901,SCOTTSBORO,2,Scottsboro city,,13786,12812,783,105,86,875,6075,868,6801,57,346,73,446,41,7,5,45,5,1,1,5,0.14403292181070002,0.127628289957359,13786.0,1,68736
AL06401,JASPER,2,Jasper city,,13553,11442,1975,79,57,673,5273,666,6217,156,885,147,1093,22,6,4,35,2,1,0,4,0.127631329413996,0.107125623290976,13553.0,1,38416
AL02501,CULLMAN,2,Cullman city,,13367,13211,27,58,71,883,5979,868,7292,5,16,1,11,42,12,6,29,9,4,1,2,0.147683559123599,0.119034558420187,13367.0,1,18976
AL00601,EUFAULA,2,Eufaula city,,13220,8541,4546,59,74,596,4143,563,4442,364,1983,381,2573,39,4,5,35,6,1,1,8,0.143857108375573,0.12674470959027498,13220.0,1,24568
AL05501,TROY,2,Troy city,,13051,8517,4393,82,59,1431,4070,1417,4485,496,1860,608,2544,29,15,19,30,7,6,4,4,0.351597051597052,0.315942028985507,13051.0,1,76920
AL02601,OZARK,2,Ozark city,,12922,9407,3141,181,193,742,4546,663,4975,265,1421,286,1744,100,13,16,93,29,2,5,33,0.16322041355037398,0.133266331658291,12922.0,1,57648
AL04601,TUSKEGEE,2,Tuskegee city,,12257,325,11826,69,37,13,146,6,183,1829,5258,2029,6591,18,6,8,19,3,1,1,7,0.089041095890411,0.0327868852459016,12257.0,1,77304
AL00104,FAIRFIELD,2,Fairfield city,,12200,3013,9141,24,22,158,1302,133,1717,631,4063,704,5089,9,1,1,13,3,1,0,4,0.121351766513057,0.0774606872451951,12200.0,1,25120
AL02801,FORT PAYNE,2,Fort Payne city,,11838,11054,569,161,54,700,5116,721,5961,62,273,42,296,34,10,3,20,21,8,1,11,0.13682564503518402,0.120952860258346,11838.0,1,27616
AL00205,SARALAND,2,Saraland city,,11751,10794,782,117,58,802,5311,739,5527,60,396,54,393,30,4,3,28,1,0,1,1,0.151007343249859,0.13370725529220198,11751.0,1,68160
AL00508,DAPHNE,2,Daphne city,,11290,9321,1786,76,107,520,4644,547,4762,128,844,138,950,41,6,10,66,8,1,2,6,0.11197243755383303,0.11486770264594698,11290.0,1,19648
AL05202,HARTSELLE,2,Hartselle city,,10795,9997,680,82,36,693,4765,655,5259,60,325,56,358,21,5,3,15,4,2,1,3,0.145435466946485,0.124548393230652,10795.0,1,33448
AL02001,SHEFFIELD,2,Sheffield city,,10380,7835,2453,53,39,542,3665,477,4199,169,1093,214,1362,23,2,3,16,6,0,1,2,0.14788540245566198,0.113598475827578,10380.0,1,69648
AL01102,JACKSONVILLE,2,Jacksonville city,,10283,8171,1798,131,183,1356,3931,1437,4349,462,818,578,997,82,26,26,101,20,9,6,25,0.34495039430170393,0.33042078638767497,10283.0,1,38272
AL00106,LEEDS,2,Leeds city,,9946,8407,1467,22,50,584,4003,587,4437,136,684,106,785,24,5,3,26,9,3,1,5,0.14589058206345198,0.132296596799639,9946.0,1,41968
AL05906,PELHAM,2,Pelham city,,9765,9339,232,123,71,548,4549,546,4850,11,109,22,125,38,6,4,33,4,2,3,5,0.12046603649153698,0.112577319587629,9765.0,1,58848
AL02003,MUSCLE SHOALS,2,Muscle Shoals city,,9611,8284,1216,51,60,558,4068,511,4260,99,580,117,645,31,8,6,29,2,1,1,5,0.13716814159291998,0.119953051643192,9611.0,1,53016
AL00113,IRONDALE,2,Irondale city,,9454,7633,1626,120,75,390,3673,381,4014,98,762,87,864,40,5,5,35,6,1,3,9,0.106180234141029,0.0949177877428999,9454.0,1,37864
AL01105,OXFORD,2,Oxford city,,9362,8505,776,49,32,544,4056,571,4468,56,367,69,410,19,5,2,13,10,4,0,2,0.134122287968442,0.127797672336616,9362.0,1,57576
AL02301,ANDALUSIA,2,Andalusia city,,9269,7067,2114,41,47,429,3243,438,3847,204,941,186,1178,34,11,3,13,15,2,2,4,0.132284921369103,0.11385495191058,9269.0,1,1708
AL00105,GARDENDALE,2,Gardendale city,,9251,9065,123,27,36,500,4251,521,4847,13,55,11,68,17,1,2,19,1,0,0,4,0.11761938367443,0.107489168557871,9251.0,1,29056
AL01202,LANETT,2,Lanett city,,8985,4693,4245,3,44,278,2142,290,2568,399,1934,391,2324,19,6,7,25,8,5,1,6,0.129785247432306,0.112928348909657,8985.0,1,41296
AL00502,FAIRHOPE,2,Fairhope city,,8485,7775,577,42,91,395,3605,410,4245,46,261,55,319,45,5,7,46,6,1,0,6,0.109570041608877,0.0965842167255595,8485.0,1,25240
AL00114,PLEASANT GROVE,2,Pleasant Grove city,,8458,8278,152,22,6,518,4008,455,4274,8,72,2,80,5,0,0,1,3,0,0,1,0.129241516966068,0.106457650912494,8458.0,1,61008
AL02002,TUSCUMBIA,2,Tuscumbia city,,8413,6564,1809,24,16,408,3063,380,3514,100,783,146,1027,6,1,1,10,0,0,0,2,0.133202742409403,0.108138873079112,8413.0,1,77280
AL00121,TRUSSVILLE,2,Trussville city,,8266,8113,89,27,37,518,3956,436,4191,5,43,6,46,17,3,2,20,2,0,0,1,0.130940343781598,0.104032450489143,8266.0,1,76944
AL01204,VALLEY,2,Valley city,,8173,6725,1409,15,24,445,3109,406,3632,136,635,151,774,10,3,3,14,5,1,1,2,0.143132840141525,0.11178414096916303,8173.0,1,78204
AL05801,,2,Pell City city,,8118,6690,1365,32,31,444,3227,432,3486,129,638,138,727,13,3,7,18,2,0,2,5,0.137589092035947,0.12392426850258198,,1,58896
AL03001,ATMORE,2,Atmore city,,8046,4480,3262,285,19,260,2017,277,2472,282,1423,301,1843,8,2,3,11,1,0,0,1,0.128904313336639,0.11205501618123,8046.0,1,3004
AL03301,RUSSELLVILLE,2,Russellville city,,7812,6806,956,11,39,456,3109,386,3731,81,442,83,516,19,2,2,20,2,0,0,1,0.14667095529109,0.103457518091664,7812.0,1,67056
AL03105,RAINBOW CITY,2,Rainbow City city,,7673,7455,125,85,8,546,3533,568,3926,5,60,15,65,3,1,1,5,2,0,1,3,0.154542881403906,0.14467651553744298,7673.0,1,63288
AL01401,CLANTON,2,Clanton city,,7669,6162,1461,21,25,430,2868,411,3304,117,673,127,789,11,1,4,14,7,1,1,6,0.14993026499302695,0.124394673123487,7669.0,1,15136
AL04801,DEMOPOLIS,2,Demopolis city,,7512,3863,3601,12,36,242,1833,242,2049,276,1547,318,2069,21,0,1,15,0,0,0,3,0.13202400436443,0.118106393362616,7512.0,1,20296
AL01001,GREENVILLE,2,Greenville city,,7492,4134,3325,20,13,226,1872,224,2274,266,1489,298,1836,4,1,1,9,1,0,0,0,0.120726495726496,0.098504837291117,7492.0,1,31912
AL00501,BAY MINETTE,2,Bay Minette city,,7168,4921,2121,83,43,437,2392,412,2568,243,947,261,1175,15,4,4,28,1,0,0,2,0.182692307692308,0.160436137071651,7168.0,1,4660
AL05002,GUNTERSVILLE,2,Guntersville city,,7038,6163,789,57,29,374,2851,371,3333,76,370,81,419,14,2,4,15,4,1,1,3,0.131182041388986,0.111311131113111,7038.0,1,32416
AL05101,MONROEVILLE,2,Monroeville city,,6993,4148,2768,53,24,264,1991,208,2170,234,1259,309,1518,12,1,2,12,0,0,0,1,0.132596685082873,0.095852534562212,6993.0,1,50192
AL05004,BOAZ,2,Boaz city,,6928,6800,55,48,25,490,3006,499,3813,19,33,6,23,13,2,2,12,2,0,1,4,0.163007318695941,0.13086808287437698,6928.0,1,7912
AL00111,FULTONDALE,2,Fultondale city,,6400,6228,107,31,34,431,3047,420,3214,10,52,8,55,15,3,4,19,0,0,0,1,0.141450607154578,0.130678282514001,6400.0,1,28552
AL05601,ROANOKE,2,Roanoke city,,6362,4032,2290,30,10,254,1855,275,2184,219,1037,205,1255,6,0,1,4,3,2,0,0,0.136927223719677,0.125915750915751,6362.0,1,65040
AL05003,ARAB,2,Arab city,,6321,6282,0,17,22,415,2933,436,3368,0,0,0,0,11,1,3,11,1,0,0,1,0.141493351517218,0.129453681710214,6321.0,1,2116
AL02906,MILLBROOK,2,Millbrook city,,6050,4974,988,34,54,327,2502,339,2513,85,461,96,531,26,0,5,28,3,0,0,8,0.130695443645084,0.134898527656188,6050.0,1,48712
AL01601,JACKSON,2,Jackson city,,5819,3736,2026,21,36,206,1736,248,2014,174,951,207,1095,15,4,4,21,2,1,1,1,0.118663594470046,0.123138033763654,5819.0,1,38152
AL04901,,2,Hamilton city,,5787,5428,315,27,17,414,2675,383,2767,33,221,15,94,10,1,1,7,2,0,1,2,0.15476635514018694,0.138417058185761,,1,32848
AL03107,SOUTHSIDE,2,Southside city,,5580,5510,8,26,36,472,2809,401,2726,0,5,1,3,18,5,5,18,5,0,2,6,0.16803132787468802,0.147101980924431,5580.0,1,71832
AL00107,MIDFIELD,2,Midfield city,,5559,4946,554,49,10,320,2368,275,2588,35,258,32,296,3,0,0,7,0,0,0,0,0.135135135135135,0.106259659969088,5559.0,1,48376
AL00207,SATSUMA,2,Satsuma city,,5194,4926,219,33,16,377,2403,336,2529,19,99,25,127,4,0,1,12,0,0,0,3,0.156887224302955,0.132858837485172,5194.0,1,68352
AL02602,DALEVILLE,2,Daleville city,,5117,3811,871,259,176,401,2055,361,1844,70,419,76,457,84,16,23,92,38,10,12,40,0.195133819951338,0.195770065075922,5117.0,1,19360
AL02902,TALLASSEE,2,Tallassee city,,5112,4336,737,20,19,271,2000,284,2352,62,346,73,392,9,3,1,10,2,1,0,0,0.1355,0.120748299319728,5112.0,1,74688
AL00503,FOLEY,2,Foley city,,4937,3893,917,36,91,211,1810,269,2147,76,407,87,513,49,10,3,42,13,7,2,16,0.116574585635359,0.125291103865859,4937.0,1,26992
AL05806,MOODY,2,Moody town,,4921,4757,127,25,12,336,2335,324,2430,8,62,11,65,5,1,1,7,2,0,0,2,0.14389721627409,0.133333333333333,4921.0,1,51096
AL03201,FAYETTE,2,Fayette city,,4909,3776,1072,7,54,235,1685,268,2121,89,483,99,589,39,12,3,15,21,9,0,3,0.13946587537092006,0.126355492692126,4909.0,1,25840
AL00801,ONEONTA,2,Oneonta city,,4844,4359,392,22,71,323,2033,280,2361,28,186,26,208,62,28,2,9,33,14,0,3,0.15887850467289702,0.118593816179585,4844.0,1,57000
AL03401,GENEVA,2,Geneva city,,4681,3942,684,21,34,260,1833,226,2128,58,332,57,359,18,4,1,16,4,2,0,1,0.141843971631206,0.106203007518797,4681.0,1,29464
AL03104,GLENCOE,2,Glencoe city,,4670,4557,94,13,6,323,2169,328,2393,4,45,5,49,4,1,0,2,0,0,0,1,0.14891655140617802,0.1370664437944,4670.0,1,29992
AL06103,CHILDERSBURG,2,Childersburg city,,4579,3412,1147,8,12,264,1632,237,1787,110,512,118,640,4,1,1,8,0,0,0,0,0.161764705882353,0.132624510352546,4579.0,1,14464
AL06702,HALEYVILLE,2,Haleyville city,,4452,4367,44,24,17,281,1997,286,2385,3,17,5,27,9,1,0,8,0,0,0,1,0.1407110665999,0.119916142557652,4452.0,1,32704
AL01602,THOMASVILLE,2,Thomasville city,,4301,2487,1799,10,5,191,1160,194,1331,126,811,169,989,1,0,1,4,0,0,0,0,0.164655172413793,0.145755071374906,4301.0,1,75960
AL05903,MONTEVALLO,2,Montevallo city,,4239,3169,1002,39,29,583,1333,977,1858,99,399,194,605,8,1,6,21,2,2,3,4,0.437359339834959,0.525834230355221,4239.0,1,50312
AL05301,MARION,2,Marion city,,4211,1841,2334,21,15,278,857,272,990,236,1072,224,1266,11,8,2,4,5,4,1,1,0.32438739789965004,0.274747474747475,4211.0,1,46768
AL00122,ADAMSVILLE,2,Adamsville city,,4161,3482,659,8,12,247,1697,230,1796,49,305,40,354,4,0,1,8,1,0,0,0,0.14555097230406602,0.128062360801782,4161.0,1,460
AL01901,ELBA,2,Elba city,,4011,2929,1051,21,10,201,1350,157,1585,102,523,99,529,3,0,0,7,2,0,0,1,0.148888888888889,0.0990536277602524,4011.0,1,23296
AL00901,UNION SPRINGS,2,Union Springs city,,3975,1013,2921,5,36,71,483,48,537,184,1229,250,1720,15,2,5,21,0,0,0,1,0.146997929606625,0.0893854748603352,3975.0,1,77880
AL05907,HELENA,2,Helena city,,3918,3614,263,29,12,198,1836,213,1789,22,132,20,132,7,0,0,5,0,0,0,0,0.107843137254902,0.11906092789267697,3918.0,1,34024
AL02101,EVERGREEN,2,Evergreen city,,3911,2017,1845,20,29,102,923,102,1106,132,791,168,1067,12,4,1,17,3,1,0,1,0.110509209100758,0.0922242314647378,3911.0,1,24808
AL02807,RAINSVILLE,2,Rainsville city,,3875,3834,1,29,11,285,1801,284,2043,1,1,0,0,5,0,2,6,0,0,0,1,0.15824541921154905,0.13901125795398905,3875.0,1,63336
AL03106,HOKES BLUFF,2,Hokes Bluff city,,3739,3721,0,7,11,295,1785,238,1943,0,0,0,0,4,1,0,7,0,0,0,0,0.165266106442577,0.122490993309315,3739.0,1,35392
AL04902,WINFIELD,2,Winfield city,,3689,3453,210,11,15,219,1599,198,1868,11,99,14,111,5,0,1,10,0,0,0,0,0.136960600375235,0.105995717344754,7378.0,1,82992
AL00204,CITRONELLE,2,Citronelle city,,3671,2925,690,48,8,198,1436,215,1496,61,289,56,401,3,0,2,5,1,0,0,0,0.137883008356546,0.143716577540107,3671.0,1,15064
AL06002,LIVINGSTON,2,Livingston city,,3530,1632,1845,25,28,353,812,328,826,240,826,315,1035,14,8,8,14,4,3,2,2,0.434729064039409,0.397094430992736,3530.0,1,43720
AL03303,,2,Red Bay city,,3451,3384,56,7,4,264,1556,241,1831,3,31,5,25,1,0,0,3,0,0,0,1,0.16966580976863802,0.13162206444565802,,1,63576
