ORI,AGENCY,Govt_level,placename,CNTY,POP100,White_count,Black_count,Other_count,Hispan_allcount,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Other_Males_All,Age1524_OtherM,Age1524_OtherF,Other_Females_All,Pct_WYM,Pct_WYF,POP,STATEFP,place_fips
SC04601,CLOVER,2,Clover town,,3422,2679,676,35,32,183,1249,178,1458,61,298,64,378,12,3,5,20,2,0,1,2,0.146517213771017,0.122085048010974,3422.0,45,15355
SC00404,PENDELTON,2,Pendleton town,,3314,2098,1178,21,17,134,963,167,1145,90,532,114,650,10,0,1,7,3,0,0,1,0.139148494288681,0.145851528384279,3314.0,45,55645
SC03204,LEXINGTON,2,Lexington town,,3289,3026,230,28,5,194,1391,210,1639,19,104,25,126,2,0,0,3,0,0,0,3,0.139468008626887,0.128126906650397,3289.0,45,41335
SC03904,LIBERTY,2,Liberty town,,3228,2806,399,7,16,192,1345,206,1470,20,176,36,228,9,4,3,7,2,1,0,0,0.14275092936803,0.14013605442176902,3228.0,45,41380
SC03211,SPRINGDALE,2,Springdale town,,3226,2998,169,32,27,260,1477,231,1546,74,106,30,63,12,3,3,15,4,2,0,0,0.17603249830738,0.149417852522639,3226.0,45,68425
SC03703,WESTMINSTER,2,Westminster town,,3120,2673,403,17,27,169,1229,196,1458,47,189,40,215,18,0,0,9,9,0,0,4,0.13751017087062695,0.13443072702332,3120.0,45,76165
SC00602,WILLISTON,2,Williston town,,3099,1698,1382,8,11,79,835,80,867,112,609,127,775,7,0,0,4,2,0,0,3,0.0946107784431138,0.0922722029988466,3099.0,45,77965
SC02306,TRAVELERS REST,2,Travelers Rest city,,3069,2662,353,13,41,199,1314,176,1374,27,170,31,185,24,5,2,17,8,4,1,6,0.15144596651446,0.128093158660844,3069.0,45,72430
SC02201,ANDREWS,2,Andrews town,,3050,1198,1828,7,17,90,549,76,652,159,820,177,1017,11,3,1,6,7,2,0,0,0.163934426229508,0.116564417177914,3050.0,45,1450
SC03905,PICKENS,2,Pickens town,,3042,2418,591,21,12,153,1086,157,1338,51,267,55,327,8,2,0,4,2,1,0,1,0.14088397790055202,0.117339312406577,3042.0,45,56140
SC04605,TEGA CAY,2,Tega Cay city,,3016,2910,42,35,29,183,1464,180,1470,3,20,4,23,16,1,0,13,0,0,0,1,0.125,0.12244897959183698,3016.0,45,71417
