ORI,AGENCY,Govt_level,placename,CNTY,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF,POP,STATEFP,place_fips
KY08801,WEST LIBERTY,2,West Liberty city,,2010,3435.0,2752.0,581.0,61.0,213.0,1914.0,89.0,838.0,138.0,579.0,0.0,2.0,57.0,10.0,0.0,4.0,0.11128526645768023,0.10620525059665872,2871.0,21,81858
KY04704,WEST POINT,2,West Point city,,2010,797.0,768.0,5.0,6.0,45.0,384.0,39.0,384.0,1.0,3.0,1.0,2.0,3.0,2.0,0.0,3.0,0.1171875,0.1015625,1225.0,21,81930
KY03602,WHEELWRIGHT,2,Wheelwright city,,2010,780.0,680.0,99.0,1.0,38.0,256.0,61.0,424.0,5.0,23.0,5.0,76.0,0.0,0.0,0.0,1.0,0.1484375,0.14386792452830188,705.0,21,82272
KY06701,WHITESBURG,2,Whitesburg city,,2010,2139.0,2094.0,13.0,11.0,127.0,976.0,117.0,1118.0,3.0,7.0,1.0,6.0,6.0,1.0,0.0,5.0,0.13012295081967212,0.10465116279069768,1636.0,21,82776
KY01912,WILDER,2,Wilder city,,2010,3035.0,2868.0,65.0,39.0,181.0,1333.0,225.0,1535.0,6.0,26.0,7.0,39.0,16.0,1.0,6.0,23.0,0.13578394598649662,0.1465798045602606,691.0,21,83172
KY11802,WILLIAMSBURG,2,Williamsburg city,,2010,5245.0,4920.0,152.0,90.0,690.0,2258.0,762.0,2662.0,69.0,92.0,35.0,60.0,40.0,12.0,31.0,50.0,0.30558015943312666,0.28625093914350114,5493.0,21,83334
KY04101,WILLIAMSTOWN,2,Williamstown city,,2010,3925.0,3757.0,70.0,111.0,308.0,1889.0,205.0,1868.0,17.0,58.0,0.0,12.0,64.0,14.0,7.0,47.0,0.16304923239809424,0.10974304068522484,3023.0,21,83406
KY05702,WILMORE,2,Wilmore city,,2010,3686.0,3354.0,83.0,63.0,561.0,1522.0,798.0,1832.0,13.0,52.0,9.0,31.0,31.0,17.0,20.0,32.0,0.3685939553219448,0.435589519650655,4471.0,21,83550
KY02501,WINCHESTER,2,Winchester city,,2010,18368.0,16113.0,1502.0,605.0,1023.0,7692.0,1013.0,8421.0,98.0,722.0,82.0,780.0,364.0,56.0,37.0,241.0,0.1329953198127925,0.1202945018406365,15799.0,21,83676
KY04202,WINGO,2,Wingo city,,2010,632.0,563.0,45.0,8.0,29.0,259.0,36.0,304.0,1.0,21.0,4.0,24.0,7.0,1.0,0.0,1.0,0.11196911196911197,0.11842105263157895,577.0,21,83856
KY04506,WORTHINGTON,2,Worthington city,,2010,1609.0,1567.0,1.0,6.0,74.0,750.0,92.0,817.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.09866666666666668,0.11260709914320685,1764.0,21,84864
LA05701,ABBEVILLE,2,Abbeville city,,2010,12257.0,6132.0,5029.0,385.0,316.0,2758.0,373.0,3374.0,375.0,2335.0,435.0,2694.0,202.0,25.0,31.0,183.0,0.11457577955039885,0.1105512744516894,11867.0,22,100
LA05206,ABITA SPRINGS,2,Abita Springs town,,2010,2365.0,2176.0,106.0,73.0,110.0,998.0,109.0,1178.0,10.0,48.0,17.0,58.0,33.0,5.0,8.0,40.0,0.11022044088176353,0.09252971137521222,1684.0,22,240
LA06103,ADDIS,2,Addis town,,2010,3593.0,2483.0,1022.0,66.0,159.0,1220.0,172.0,1263.0,111.0,479.0,94.0,543.0,37.0,5.0,7.0,29.0,0.130327868852459,0.13618368962787014,1276.0,22,415
LA04001,ALEXANDRIA,2,Alexandria city,,2010,47723.0,18288.0,27322.0,849.0,995.0,8582.0,948.0,9706.0,2035.0,12764.0,2128.0,14558.0,449.0,95.0,66.0,400.0,0.11594034024702865,0.09767154337523183,49188.0,22,975
LA05304,AMITE,2,Amite City town,,2010,4141.0,1805.0,2257.0,62.0,124.0,988.0,84.0,817.0,232.0,1236.0,181.0,1021.0,34.0,6.0,5.0,28.0,0.12550607287449392,0.10281517747858017,4402.0,22,1885
LA04903,ARNAUDVILLE,2,Arnaudville town,,2010,1057.0,960.0,84.0,9.0,51.0,464.0,62.0,496.0,6.0,40.0,11.0,44.0,3.0,1.0,0.0,6.0,0.10991379310344827,0.125,1801.0,22,3110
LA05105,BALDWIN,2,Baldwin town,,2010,2436.0,731.0,1615.0,20.0,51.0,358.0,51.0,373.0,126.0,756.0,137.0,859.0,12.0,1.0,2.0,8.0,0.1424581005586592,0.13672922252010725,2397.0,22,4020
LA04010,BALL,2,Ball town,,2010,4000.0,3586.0,276.0,127.0,231.0,1721.0,238.0,1865.0,10.0,129.0,19.0,147.0,82.0,19.0,5.0,45.0,0.13422428820453225,0.12761394101876675,3212.0,22,4055
LA02001,BASILE,2,Basile town,,2010,1821.0,1294.0,342.0,252.0,128.0,691.0,103.0,603.0,38.0,213.0,14.0,129.0,234.0,60.0,5.0,18.0,0.18523878437047755,0.17081260364842454,1870.0,22,4580
LA03401,BASTROP,2,Bastrop city,,2010,11365.0,2922.0,8236.0,86.0,146.0,1356.0,146.0,1566.0,644.0,3728.0,673.0,4508.0,48.0,7.0,4.0,38.0,0.10766961651917403,0.09323116219667944,14150.0,22,4685
