place_fips,STATEFP,Govt_level_x,placename,Govt_level_y,_merge
99129,5,1,Searcy County,1,both
99131,5,1,Sebastian County,1,both
99133,5,1,Sevier County,1,both
99135,5,1,Sharp County,1,both
99137,5,1,Stone County,1,both
99139,5,1,Union County,1,both
99141,5,1,Van Buren County,1,both
99143,5,1,Washington County,1,both
99145,5,1,White County,1,both
99147,5,1,Woodruff County,1,both
99149,5,1,Yell County,1,both
99001,6,1,Alameda County,1,both
99001,6,1,Alameda County,4,both
99001,6,1,Alameda County,8,both
99001,6,1,Alameda County,0,both
99003,6,1,Alpine County,1,both
99003,6,1,Alpine County,0,both
99005,6,1,Amador County,1,both
99005,6,1,Amador County,8,both
99005,6,1,Amador County,0,both
99007,6,1,Butte County,1,both
99007,6,1,Butte County,8,both
99007,6,1,Butte County,0,both
99009,6,1,Calaveras County,1,both
99009,6,1,Calaveras County,8,both
99009,6,1,Calaveras County,0,both
99011,6,1,Colusa County,1,both
99011,6,1,Colusa County,8,both
99011,6,1,Colusa County,0,both
99013,6,1,Contra Costa County,1,both
99013,6,1,Contra Costa County,4,both
99013,6,1,Contra Costa County,8,both
99013,6,1,Contra Costa County,0,both
99015,6,1,Del Norte County,1,both
99015,6,1,Del Norte County,0,both
99017,6,1,El Dorado County,1,both
99017,6,1,El Dorado County,8,both
99017,6,1,El Dorado County,0,both
99019,6,1,Fresno County,1,both
99019,6,1,Fresno County,8,both
99019,6,1,Fresno County,0,both
99021,6,1,Glenn County,1,both
99021,6,1,Glenn County,8,both
99021,6,1,Glenn County,0,both
99023,6,1,Humboldt County,1,both
99023,6,1,Humboldt County,4,both
99023,6,1,Humboldt County,0,both
99025,6,1,Imperial County,1,both
99025,6,1,Imperial County,8,both
99025,6,1,Imperial County,0,both
99027,6,1,Inyo County,1,both
99027,6,1,Inyo County,8,both
99027,6,1,Inyo County,0,both
99029,6,1,Kern County,1,both
99029,6,1,Kern County,8,both
99029,6,1,Kern County,5,both
99029,6,1,Kern County,0,both
99031,6,1,Kings County,1,both
99031,6,1,Kings County,8,both
99031,6,1,Kings County,0,both
99033,6,1,Lake County,1,both
99033,6,1,Lake County,0,both
99035,6,1,Lassen County,1,both
99035,6,1,Lassen County,8,both
99035,6,1,Lassen County,0,both
99037,6,1,Los Angeles County,1,both
99037,6,1,Los Angeles County,8,both
99037,6,1,Los Angeles County,4,both
99037,6,1,Los Angeles County,0,both
99039,6,1,Madera County,1,both
99039,6,1,Madera County,8,both
99039,6,1,Madera County,0,both
99041,6,1,Marin County,1,both
99041,6,1,Marin County,8,both
99041,6,1,Marin County,0,both
99043,6,1,Mariposa County,1,both
99043,6,1,Mariposa County,0,both
99045,6,1,Mendocino County,1,both
99045,6,1,Mendocino County,8,both
99045,6,1,Mendocino County,0,both
99047,6,1,Merced County,1,both
99047,6,1,Merced County,8,both
99047,6,1,Merced County,0,both
99049,6,1,Modoc County,1,both
99049,6,1,Modoc County,8,both
99049,6,1,Modoc County,0,both
99051,6,1,Mono County,1,both
99051,6,1,Mono County,0,both
99053,6,1,Monterey County,1,both
99053,6,1,Monterey County,4,both
99053,6,1,Monterey County,8,both
99053,6,1,Monterey County,0,both
99055,6,1,Napa County,1,both
99055,6,1,Napa County,8,both
99055,6,1,Napa County,0,both
99057,6,1,Nevada County,1,both
99057,6,1,Nevada County,8,both
99057,6,1,Nevada County,0,both
99059,6,1,Orange County,1,both
99059,6,1,Orange County,8,both
99059,6,1,Orange County,0,both
99061,6,1,Placer County,1,both
99061,6,1,Placer County,8,both
99061,6,1,Placer County,0,both
99063,6,1,Plumas County,1,both
99063,6,1,Plumas County,8,both
99063,6,1,Plumas County,0,both
99065,6,1,Riverside County,1,both
99065,6,1,Riverside County,8,both
99065,6,1,Riverside County,0,both
99067,6,1,Sacramento County,1,both
99067,6,1,Sacramento County,0,both
99067,6,1,Sacramento County,8,both
99069,6,1,San Benito County,1,both
99069,6,1,San Benito County,8,both
99069,6,1,San Benito County,0,both
99071,6,1,San Bernardino County,1,both
99071,6,1,San Bernardino County,8,both
99071,6,1,San Bernardino County,0,both
99073,6,1,San Diego County,1,both
99073,6,1,San Diego County,4,both
99073,6,1,San Diego County,8,both
99073,6,1,San Diego County,99,both
99073,6,1,San Diego County,0,both
99075,6,1,San Francisco County,,left_only
99077,6,1,San Joaquin County,99,both
99077,6,1,San Joaquin County,1,both
99077,6,1,San Joaquin County,8,both
99077,6,1,San Joaquin County,4,both
99077,6,1,San Joaquin County,0,both
99079,6,1,San Luis Obispo County,1,both
99079,6,1,San Luis Obispo County,8,both
99079,6,1,San Luis Obispo County,0,both
99081,6,1,San Mateo County,1,both
99081,6,1,San Mateo County,4,both
99081,6,1,San Mateo County,8,both
99081,6,1,San Mateo County,0,both
99083,6,1,Santa Barbara County,1,both
