ORI,AGENCY,Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
WI05100,PRICE,1,99099,Price County,99.0,55,1990,15600,15434,7,59,939,7766,814,7713,1,5,0,2,27,7,2,32,0.120911666237445,0.10553610786983
WI05200,RACINE,1,99101,Racine County,101.0,55,1990,175034,147745,16693,9034,9617,73994,9500,78104,1357,7854,1517,9145,4648,861,766,4386,0.12996999756737,0.121632694868381
WI05300,RICHLAND,1,99103,Richland County,103.0,55,1990,17521,17375,12,59,1165,8625,987,8786,2,9,0,3,26,8,11,33,0.135072463768116,0.112337810152515
WI05400,ROCK,1,99105,Rock County,105.0,55,1990,139510,129788,6593,1754,9059,63832,8980,66971,545,3066,598,3572,954,190,148,800,0.14191941346033302,0.13408788878768402
WI05500,RUSK,1,99107,Rusk County,107.0,55,1990,15079,14768,31,85,986,7333,870,7488,13,22,7,9,33,6,9,52,0.13446065730260498,0.116185897435897
WI05600,ST CROIX,1,99109,St. Croix County,109.0,55,1990,50251,49743,44,192,3320,24913,3201,24982,1,29,0,15,89,19,13,103,0.133263757877413,0.12813225522376098
WI05700,SAUK,1,99111,Sauk County,111.0,55,1990,46975,46347,53,207,2962,22878,2815,23581,9,33,6,21,102,17,21,105,0.129469359209721,0.119375768627285
WI05800,SAWYER,1,99113,Sawyer County,113.0,55,1990,14181,11928,18,101,587,6029,524,5933,7,16,1,2,55,6,6,46,0.0973627467241665,0.0883195685150851
WI05900,SHAWANO,1,99115,Shawano County,115.0,55,1990,37157,35162,42,129,2278,17509,2050,17742,8,29,3,13,67,15,8,62,0.130104517676623,0.115545034381693
WI06000,SHEBOYGAN,1,99117,Sheboygan County,117.0,55,1990,103877,99447,412,1668,6747,49470,6136,50919,118,354,30,76,899,203,147,769,0.136385688295937,0.120505115968499
WI06100,TAYLOR,1,99119,Taylor County,119.0,55,1990,18901,18774,2,42,1238,9492,1160,9315,0,1,0,1,25,6,5,17,0.130425621576064,0.124530327428878
WI06200,TREMPEALEAU,1,99121,Trempealeau County,121.0,55,1990,25263,25120,12,53,1607,12548,1545,12612,1,5,1,7,26,5,5,27,0.128068218042716,0.122502378686965
