ORI,AGENCY,Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Pct_WYM,Pct_WYF
AZ01301,CLARKDALE,2,13890,Clarkdale town,,4,1990,2144,1688,0,80,909,72,958,0,0,0,0,0.088008800880088,0.0751565762004175
AZ00405,MIAMI,2,46350,Miami town,,4,1990,2018,763,15,63,603,65,637,0,8,1,7,0.10447761194029902,0.10204081632653099
AZ01503,QUARTZSITE,2,58010,Quartzsite town,,4,1990,1876,1775,6,33,923,48,881,1,4,1,2,0.0357529794149512,0.054483541430193
AZ01111,MAMMOTH,2,43990,Mammoth town,,4,1990,1845,534,0,139,865,134,859,1,1,0,0,0.16069364161849697,0.155995343422584
AZ00105,SPRINGERVILLE,2,68990,Springerville town,,4,1990,1802,1294,0,104,809,117,806,0,0,0,0,0.128553770086527,0.145161290322581
AZ00207,HUACHUCA CITY,2,34120,Huachuca City town,,4,1990,1782,1319,104,102,725,100,787,3,59,9,59,0.140689655172414,0.127064803049555
AZ00501,PIMA,2,55560,Pima town,,4,1990,1725,1441,1,141,818,114,852,0,1,0,0,0.172371638141809,0.133802816901408
AZ00211,TOMBSTONE,2,74400,Tombstone city,,4,1990,1220,856,0,59,548,48,570,0,0,0,0,0.107664233576642,0.0842105263157895
AZ00303,FREDONIA,2,25720,Fredonia town,,4,1990,1207,1065,1,73,542,77,535,0,1,0,0,0.134686346863469,0.14392523364485998
AZ01409,WELLTON,2,81480,Wellton town,,4,1990,1066,523,43,42,329,33,352,5,27,6,28,0.127659574468085,0.09375
AZ00403,HAYDEN,2,32020,Hayden town,,4,1990,909,116,0,27,158,14,168,0,0,0,0,0.170886075949367,0.0833333333333333
AZ01305,JEROME,2,36290,Jerome town,,4,1990,403,370,1,18,177,12,207,0,1,0,0,0.101694915254237,0.0579710144927536
AR00100,ARKANSAS COUNTY,1,99001,Arkansas County,1.0,5,1990,21653,16779,4724,998,8058,992,8758,342,2123,374,2615,0.12385207247455901,0.11326786937657
AR00200,ASHLEY,1,99003,Ashley County,3.0,5,1990,24319,17406,6607,1226,8540,1171,8971,490,3031,566,3585,0.143559718969555,0.130531713298406
AR00300,BAXTER,1,99005,Baxter County,5.0,5,1990,31186,30827,4,1450,14745,1443,16219,0,2,0,2,0.0983384198033232,0.0889697268635551
AR00400,BENTON,1,99007,Benton County,7.0,5,1990,97499,94158,118,5942,46238,6016,48730,30,82,16,42,0.128509018556166,0.123455776728914
AR00500,BOONE,1,99009,Boone County,9.0,5,1990,28297,27911,5,1882,13420,1809,14618,1,2,2,3,0.140238450074516,0.123751539198249
AR00600,BRADLEY,1,99011,Bradley County,11.0,5,1990,11793,7936,3641,500,3820,468,4192,293,1707,327,1941,0.130890052356021,0.11164122137404599
AR00700,CALHOUN,1,99013,Calhoun County,13.0,5,1990,5826,4346,1437,263,2163,250,2194,111,639,132,808,0.121590383726306,0.113947128532361
AR00800,CARROLL,1,99015,Carroll County,15.0,5,1990,18654,18261,4,1119,8903,1080,9513,0,3,0,3,0.12568797034707402,0.11352885525071
AR00900,CHICOT,1,99017,Chicot County,17.0,5,1990,15713,6666,8811,461,3191,421,3501,692,3945,772,4914,0.14446881855217802,0.120251356755213
AR01000,CLARK,1,99019,Clark County,19.0,5,1990,21437,16267,4898,1874,7852,1826,8492,491,2231,524,2682,0.238665308201732,0.215025906735751
AR01100,CLAY,1,99021,Clay County,21.0,5,1990,18107,17976,5,1179,8615,1108,9416,0,4,0,2,0.13685432385374302,0.11767204757859
AR01200,CLEBURNE,1,99023,Cleburne County,23.0,5,1990,19411,19213,6,1098,9352,992,9940,0,3,0,3,0.11740804106073599,0.0997987927565392
AR01300,CLEVELAND,1,99025,Cleveland County,25.0,5,1990,7781,6653,1053,484,3279,450,3402,86,488,86,571,0.14760597743214401,0.132275132275132
AR01400,COLUMBIA,1,99027,Columbia County,27.0,5,1990,25691,16516,8982,1187,7889,1164,8675,780,4094,864,4898,0.150462669539866,0.134178674351585
AR01500,CONWAY,1,99029,Conway County,29.0,5,1990,19151,16071,2860,1036,7797,1022,8342,237,1323,233,1553,0.132871617288701,0.122512586909614
AR01600,CRAIGHEAD,1,99031,Craighead County,31.0,5,1990,68956,64225,3764,5642,31077,5666,33372,539,1712,644,2066,0.18154905557164497,0.16978305166007399
AR01700,CRAWFORD,1,99033,Crawford County,33.0,5,1990,42493,40654,361,2801,20061,2740,20913,36,176,17,198,0.139624146353621,0.13101898340745
AR01800,CRITTENDEN,1,99035,Crittenden County,35.0,5,1990,49939,27988,21334,1934,13612,1915,14540,1691,9760,1997,11641,0.142080517190714,0.131705639614856
