ORI,AGENCY,Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Pct_WYM,Pct_WYF
IL01628,FORD HEIGHTS,2,26710,Ford Heights village,,17,1990,4259,20,4190,2,11,6,15,383,1932,501,2276,0.18181818181818202,0.4
IL01682,OLYMPIA FIELDS,2,55938,Olympia Fields village,,17,1990,4248,3248,684,208,1628,174,1654,51,342,55,343,0.127764127764128,0.105199516324063
IL05301,DWIGHT,2,21358,Dwight village,,17,1990,4230,4090,41,253,1927,285,2210,10,20,6,21,0.13129216398547,0.1289592760181
IL01691,POSEN,2,61314,Posen village,,17,1990,4226,3801,83,269,1956,278,2007,5,38,7,49,0.13752556237218802,0.138515196811161
IL01604,BARRINGTON HILLS,2,3883,Barrington Hills village,,17,1990,4202,4021,7,296,2029,283,2034,0,5,0,2,0.145884672252341,0.13913470993117
IL01687,PALOS PARK,2,57407,Palos Park village,,17,1990,4199,4015,7,281,2039,254,2033,1,3,1,4,0.13781265326140302,0.124938514510575
IL02105,TUSCOLA,2,76407,Tuscola city,,17,1990,4155,4128,1,258,1994,258,2149,0,1,0,0,0.12938816449347998,0.120055839925547
IL10107,SOUTH BELOIT,2,70590,South Beloit city,,17,1990,4072,3608,221,266,1798,262,1881,21,103,19,120,0.147942157953281,0.139287612971823
IL04919,ROUND LAKE PARK,2,66066,Round Lake Park village,,17,1990,4045,3502,8,286,1937,257,1888,0,6,0,3,0.147651006711409,0.13612288135593198
IL06021,PONTOON BEACH,2,61067,Pontoon Beach village,,17,1990,4013,3830,70,268,1899,332,1992,9,34,4,38,0.14112690889942098,0.166666666666667
IL01699,ROSEMONT,2,65819,Rosemont village,,17,1990,3995,3001,31,257,1613,243,1632,0,17,0,14,0.15933044017359,0.148897058823529
IL04702,YORKVILLE,2,84038,Yorkville city,,17,1990,3925,3852,8,298,1913,303,1970,1,6,0,2,0.15577626764244598,0.153807106598985
IL01615,BURNHAM,2,9798,Burnham village,,17,1990,3916,2691,633,241,1527,191,1579,42,279,39,357,0.157825802226588,0.120962634578847
IL03201,COAL CITY,2,15170,Coal City village,,17,1990,3907,3830,1,234,1873,271,1986,0,0,0,1,0.124933262146289,0.13645518630412898
IL07103,OREGON,2,56484,Oregon city,,17,1990,3891,3817,3,236,1815,241,2028,0,3,0,0,0.130027548209366,0.118836291913215
IL04703,OSWEGO,2,56887,Oswego village,,17,1990,3876,3750,7,238,1863,259,1956,1,3,1,4,0.127750939345142,0.13241308793456
IL00805,SAVANNA,2,67821,Savanna city,,17,1990,3819,3529,64,240,1720,242,1940,4,32,5,33,0.13953488372093,0.124742268041237
IL04517,WEST DUNDEE,2,80125,West Dundee village,,17,1990,3728,3628,8,237,1790,255,1897,0,4,2,6,0.132402234636872,0.134422772799157
IL08403,AUBURN,2,2921,Auburn city,,17,1990,3724,3680,3,222,1747,233,1955,0,1,1,2,0.127074985689754,0.11918158567774902
IL10003,,2,38544,Johnston City city,,17,1990,3706,3676,4,226,1671,242,2018,0,0,1,4,0.135248354278875,0.1199207135778
IL09802,FULTON,2,28144,Fulton city,,17,1990,3698,3658,1,219,1766,202,1904,0,0,0,1,0.12400906002264998,0.10609243697478998
IL08209,LEBANON,2,42496,Lebanon city,,17,1990,3688,2880,693,251,1376,275,1539,83,341,85,363,0.18241279069767397,0.178687459389214
IL06601,ALEDO,2,646,Aledo city,,17,1990,3681,3630,11,191,1647,191,1990,1,8,0,3,0.11596842744383698,0.0959798994974874
IL01626,DIXMOOR,2,20149,Dixmoor village,,17,1990,3647,1285,2099,51,642,66,713,196,1012,178,1094,0.0794392523364486,0.0925666199158485
IL04303,GALENA,2,28300,Galena city,,17,1990,3647,3604,5,212,1716,198,1907,0,1,1,4,0.12354312354312401,0.103828002097535
IL05905,GILLESPIE,2,29236,Gillespie city,,17,1990,3645,3630,1,216,1682,211,1953,0,0,0,1,0.12841854934601699,0.108038914490527
IL05303,FAIRBURY,2,24764,Fairbury city,,17,1990,3643,3512,11,234,1652,190,1929,1,6,1,5,0.141646489104116,0.0984966303784344
IL05910,VIRDEN,2,78149,Virden city,,17,1990,3635,3612,2,222,1666,238,1952,0,0,0,2,0.133253301320528,0.121926229508197
IL10001,CARTERVILLE,2,11514,Carterville city,,17,1990,3630,3547,4,277,1697,265,1877,0,1,0,3,0.163229228049499,0.14118273841235998
IL05006,OGLESBY,2,55353,Oglesby city,,17,1990,3619,3524,13,196,1713,215,1864,1,6,2,7,0.114419147694104,0.115343347639485
IL06301,HAVANA,2,33513,Havana city,,17,1990,3610,3569,4,224,1642,220,1939,1,3,0,1,0.136419001218027,0.11346054667354301
IL04801,ABINGDON,2,113,Abingdon city,,17,1990,3597,3536,20,231,1691,228,1869,3,6,3,14,0.136605558840923,0.12199036918138001
IL0166A,SOUTH CHICAGO HEIGHTS,2,70629,South Chicago Heights village,,17,1990,3597,3058,42,226,1661,214,1665,3,24,2,21,0.136062612883805,0.128528528528529
IL09903,BRAIDWOOD,2,7770,Braidwood city,,17,1990,3584,3493,21,236,1734,234,1788,0,10,1,11,0.136101499423299,0.130872483221477
IL06015,VENICE,2,77473,Venice city,,17,1990,3571,334,3201,19,167,17,168,281,1416,290,1805,0.11377245508982001,0.10119047619047598
IL01402,BREESE,2,7913,Breese city,,17,1990,3567,3521,7,230,1729,246,1817,2,3,2,4,0.133024869866975,0.135388002201431
IL01202,MARSHALL,2,47163,Marshall city,,17,1990,3555,3531,2,249,1626,219,1913,0,1,0,1,0.153136531365314,0.11447987454260301
IL05604,FOX RIVER GROVE,2,27533,Fox River Grove village,,17,1990,3551,3409,9,185,1749,163,1742,1,3,0,7,0.105774728416238,0.0935706084959816
IL04916,ROUND LAKE,2,66027,Round Lake village,,17,1990,3550,3074,10,305,1669,294,1733,3,4,0,6,0.18274415817855,0.169648009232545
IL01653,INDIAN HEAD PARK,2,37257,Indian Head Park village,,17,1990,3503,3364,22,153,1514,165,1895,0,10,1,12,0.10105680317041,0.0870712401055409
IL04605,MANTENO,2,46500,Manteno village,,17,1990,3488,3442,6,212,1695,255,1763,0,3,2,3,0.125073746312684,0.14463981849120802
IL01403,CARLYLE,2,11228,Carlyle city,,17,1990,3474,3358,79,209,1581,210,1785,8,36,3,43,0.132194813409235,0.11764705882352902
IL02701,GIBSON CITY,2,29119,Gibson city,,17,1990,3396,3319,30,208,1536,175,1800,1,10,2,20,0.135416666666667,0.0972222222222222
IL07302,PINCKNEYVILLE,2,59884,Pinckneyville city,,17,1990,3372,3326,10,186,1505,184,1836,3,8,0,2,0.12358803986710999,0.100217864923747
IL03404,HAMILTON,2,32434,Hamilton city,,17,1990,3281,3231,13,198,1523,191,1724,0,6,0,7,0.130006565988181,0.11078886310904902
IL08501,RUSHVILLE,2,66339,Rushville city,,17,1990,3229,3216,2,188,1416,198,1802,0,2,0,0,0.13276836158192099,0.10987791342952302
IL06904,SOUTH JACKSONVILLE,2,70889,South Jacksonville village,,17,1990,3187,3101,36,167,1379,160,1739,3,20,5,16,0.121102248005801,0.0920069005175388
IL08206,DUPO,2,21254,Dupo village,,17,1990,3164,3122,6,209,1505,212,1637,0,4,1,2,0.138870431893688,0.129505192425168
IL04001,NEWTON,2,52844,Newton city,,17,1990,3154,3135,0,159,1422,191,1726,0,0,0,0,0.11181434599156098,0.110660486674392
IL08208,FREEBURG,2,27806,Freeburg village,,17,1990,3115,3064,2,199,1466,207,1615,1,1,0,1,0.13574351978171903,0.12817337461300302
IL01003,MAHOMET,2,46136,Mahomet village,,17,1990,3103,3062,0,183,1471,194,1599,0,0,0,0,0.124405166553365,0.121325828642902
IL01901,GENOA,2,28898,Genoa city,,17,1990,3083,2964,0,201,1498,174,1520,0,1,0,1,0.134178905206943,0.11447368421052599
IL09005,MARQUETTE HEIGHTS,2,47111,Marquette Heights city,,17,1990,3077,3035,7,209,1551,191,1498,0,3,0,4,0.134751773049645,0.127503337783712
IL04604,MOMENCE,2,49893,Momence city,,17,1990,2968,2772,82,194,1302,158,1525,5,36,3,48,0.14900153609831,0.103606557377049
IL08201,ALORTON,2,958,Alorton village,,17,1990,2960,91,2851,2,44,4,47,271,1313,303,1545,0.0454545454545455,0.0851063829787234
IL09910,PEOTONE,2,59052,Peotone village,,17,1990,2947,2917,1,214,1446,172,1485,0,1,0,0,0.147994467496542,0.11582491582491601
IL0165A,SOUTH BARRINGTON,2,70564,South Barrington village,,17,1990,2937,2637,26,192,1316,191,1334,2,14,0,12,0.145896656534954,0.143178410794603
IL10105,ROCKTON,2,65156,Rockton village,,17,1990,2928,2855,18,166,1393,182,1485,3,8,3,10,0.11916726489590801,0.122558922558923
IL07102,MOUNT MORRIS,2,50998,Mount Morris village,,17,1990,2919,2874,5,157,1370,154,1515,0,3,0,2,0.114598540145985,0.101650165016502
IL07902,RED BUD,2,63043,Red Bud city,,17,1990,2918,2880,1,146,1314,163,1578,0,0,0,1,0.111111111111111,0.10329531051964501
IL01201,CASEY,2,11618,Casey city,,17,1990,2914,2878,1,163,1253,169,1638,0,1,0,0,0.130087789305666,0.103174603174603
IL04911,LAKE VILLA,2,41586,Lake Villa village,,17,1990,2857,2756,20,184,1388,162,1409,6,13,1,7,0.13256484149855902,0.11497515968772198
IL03104,WHITE HALL,2,81256,White Hall city,,17,1990,2814,2797,1,184,1318,159,1486,0,1,0,0,0.139605462822458,0.10699865410497998
IL0164B,THORNTON,2,75185,Thornton village,,17,1990,2778,2683,2,157,1335,154,1423,0,2,0,0,0.117602996254682,0.10822206605762501
IL05705,LEROY,2,42971,Le Roy city,,17,1990,2777,2754,8,165,1292,147,1468,0,3,1,5,0.12770897832817302,0.100136239782016
IL02802,CHRISTOPHER,2,14286,Christopher city,,17,1990,2774,2758,2,180,1278,169,1484,0,1,0,1,0.140845070422535,0.11388140161725098
IL03706,GALVA,2,28430,Galva city,,17,1990,2742,2676,0,133,1268,159,1438,0,0,0,0,0.104889589905363,0.11057023643949902
IL02106,VILLA GROVE,2,77941,Villa Grove city,,17,1990,2734,2704,2,175,1322,159,1389,0,1,0,1,0.132375189107413,0.114470842332613
IL04504,EAST DUNDEE,2,21696,East Dundee village,,17,1990,2721,2608,11,183,1328,137,1326,2,5,0,6,0.137801204819277,0.10331825037707401
IL08103,COAL VALLEY,2,15235,Coal Valley village,,17,1990,2683,2598,4,176,1298,152,1331,2,5,0,2,0.135593220338983,0.11419984973703999
IL02101,ARCOLA,2,1881,Arcola city,,17,1990,2678,2412,6,165,1234,163,1320,0,3,1,3,0.133711507293355,0.12348484848484802
IL08409,ROCHESTER,2,64759,Rochester village,,17,1990,2676,2635,7,160,1268,151,1377,0,3,1,4,0.126182965299685,0.10965867828612899
IL03401,CARTHAGE,2,11527,Carthage city,,17,1990,2657,2639,2,119,1166,159,1476,0,2,0,0,0.10205831903945099,0.107723577235772
IL08225,SHILOH,2,69524,Shiloh village,,17,1990,2655,2450,79,190,1269,146,1216,5,35,7,44,0.149724192277384,0.120065789473684
IL03708,GREEN ROCK,2,31485,Green Rock city,,17,1990,2615,2484,2,180,1253,191,1276,0,1,0,2,0.14365522745411,0.149686520376176
IL01404,NEW BADEN,2,52142,New Baden village,,17,1990,2602,2452,78,171,1181,181,1294,10,47,8,31,0.144792548687553,0.139876352395672
IL06201,HENRY,2,34163,Henry city,,17,1990,2591,2562,2,148,1236,152,1335,0,0,1,2,0.119741100323625,0.113857677902622
IL06012,MARYVILLE,2,47397,Maryville village,,17,1990,2576,2468,52,169,1215,183,1294,10,31,5,21,0.13909465020576098,0.141421947449768
IL02905,LEWISTOWN,2,43055,Lewistown city,,17,1990,2572,2552,4,167,1206,154,1354,0,4,0,0,0.13847429519071303,0.113737075332349
IL08212,MILLSTADT,2,49386,Millstadt village,,17,1990,2566,2496,26,143,1182,157,1343,0,10,0,16,0.120981387478849,0.116902457185406
IL03206,MINOOKA,2,49607,Minooka village,,17,1990,2561,2512,1,170,1299,126,1225,0,1,0,0,0.130869899923018,0.10285714285714301
IL02904,FARMINGTON,2,25531,Farmington city,,17,1990,2535,2506,0,152,1189,152,1333,0,0,0,0,0.127838519764508,0.114028507126782
IL06803,NOKOMIS,2,53169,Nokomis city,,17,1990,2534,2514,2,165,1138,163,1389,0,1,0,1,0.14499121265377898,0.11735061195104401
IL10203,METAMORA,2,48606,Metamora village,,17,1990,2520,2513,1,172,1210,162,1303,0,1,0,0,0.142148760330579,0.12432847275518
IL07104,POLO,2,60937,Polo city,,17,1990,2514,2470,2,142,1154,159,1330,0,1,0,1,0.12305025996533801,0.11954887218045099
IL03101,CARROLLTON,2,11462,Carrollton city,,17,1990,2507,2490,5,122,1121,138,1373,0,2,0,3,0.108831400535236,0.100509832483613
IL10201,EL PASO,2,23737,El Paso city,,17,1990,2499,2455,7,142,1157,145,1307,0,1,0,6,0.12273120138288698,0.110941086457536
IL01405,TRENTON,2,75991,Trenton city,,17,1990,2481,2454,2,142,1150,161,1309,0,1,0,1,0.12347826086956501,0.12299465240641701
IL05607,HUNTLEY,2,36750,Huntley village,,17,1990,2453,2395,0,160,1216,153,1213,0,0,0,0,0.131578947368421,0.126133553173949
IL01656,KENILWORTH,2,39519,Kenilworth village,,17,1990,2402,2322,5,128,1102,171,1241,0,0,0,5,0.11615245009074401,0.13779210314262696
IL08406,PAWNEE,2,58174,Pawnee village,,17,1990,2384,2365,4,151,1121,154,1251,0,3,0,1,0.13470115967885798,0.12310151878497198
IL08210,MARISSA,2,46955,Marissa village,,17,1990,2375,2361,4,166,1152,145,1215,0,2,0,2,0.144097222222222,0.119341563786008
IL06302,MASON CITY,2,47475,Mason City city,,17,1990,2323,2308,1,147,1085,124,1227,0,0,0,1,0.13548387096774198,0.101059494702526
IL07106,BYRON,2,10240,Byron city,,17,1990,2284,2254,2,135,1051,131,1213,0,1,0,1,0.128449096098953,0.107996702390767
IL05902,BRIGHTON,2,8264,Brighton village,,17,1990,2270,2254,0,167,1070,164,1194,0,0,0,0,0.15607476635514003,0.137353433835846
IL06501,,2,59312,Petersburg city,,17,1990,2261,2242,5,116,994,124,1250,0,4,1,1,0.11670020120724302,0.0992
IL04936,KILDEER,2,39883,Kildeer village,,17,1990,2257,2159,0,184,1117,140,1076,0,2,0,2,0.164726947179946,0.130111524163569
IL03705,COLONA,2,15664,Colona village,,17,1990,2237,2140,11,133,1068,167,1107,0,3,1,8,0.12453183520599302,0.15085817524841902
IL01690,PHOENIX,2,59572,Phoenix village,,17,1990,2217,33,2111,11,28,4,29,144,976,157,1136,0.3928571428571429,0.137931034482759
IL05906,GIRARD,2,29392,Girard city,,17,1990,2164,2145,0,152,1015,142,1133,0,0,0,0,0.14975369458128102,0.12533097969991197
IL08220,FAIRMONT CITY,2,24933,Fairmont City village,,17,1990,2140,1511,22,123,917,111,972,2,16,3,12,0.134133042529989,0.11419753086419802
IL03103,ROODHOUSE,2,65481,Roodhouse city,,17,1990,2139,2119,6,147,1007,139,1115,1,4,0,2,0.14597815292949404,0.124663677130045
IL02002,FARMER CITY,2,25414,Farmer City city,,17,1990,2114,2104,0,125,1011,117,1097,0,0,0,0,0.12363996043521301,0.10665451230628999
IL09013,,2,75965,Tremont village,,17,1990,2088,2068,0,145,989,129,1081,0,0,0,0,0.146612740141557,0.119333950046253
IL10106,ROSCOE,2,65611,Roscoe village,,17,1990,2079,2024,11,117,1003,125,1034,0,5,1,6,0.11665004985044901,0.12088974854932301
IL01669,MERRIONETTE PARK,2,48554,Merrionette Park village,,17,1990,2065,1980,30,102,928,118,1074,1,17,1,13,0.10991379310344802,0.109869646182495
IL09916,MANHATTAN,2,46357,Manhattan village,,17,1990,2059,2012,0,126,1000,139,1041,0,0,0,0,0.126,0.133525456292027
IL09901,BEECHER,2,4585,Beecher village,,17,1990,2032,2012,0,124,1001,134,1022,0,0,0,0,0.12387612387612401,0.131115459882583
IL08215,NEW ATHENS,2,52116,New Athens village,,17,1990,2010,1984,12,109,923,119,1063,0,6,2,6,0.11809317443120301,0.111947318908749
IL04515,SUGAR GROVE,2,73391,Sugar Grove village,,17,1990,2005,1954,8,120,964,136,1012,1,3,1,5,0.12448132780083,0.134387351778656
IL10204,MINONK CITY,2,49568,Minonk city,,17,1990,1982,1967,0,105,921,108,1055,0,0,0,0,0.11400651465798,0.102369668246445
IL01649,HODGKINS,2,35385,Hodgkins village,,17,1990,1963,1346,3,105,758,69,737,0,0,1,3,0.13852242744063298,0.0936227951153324
IL06019,SOUTH ROXANA,2,71240,South Roxana village,,17,1990,1961,1915,2,149,938,157,997,0,0,1,2,0.15884861407249498,0.157472417251755
IL00501,MOUNT STERLING,2,51154,Mount Sterling city,,17,1990,1922,1916,0,128,900,115,1017,0,0,0,0,0.14222222222222197,0.11307767944936098
IL04301,EAST DUBUQUE,2,21683,East Dubuque city,,17,1990,1914,1903,4,141,941,122,967,0,2,1,3,0.149840595111583,0.126163391933816
IL02229,OAKBROOK TERRACE,2,54560,Oakbrook Terrace city,,17,1990,1907,1738,16,84,817,70,955,1,8,0,8,0.10281517747858,0.0732984293193717
IL05009,SENECA,2,68640,Seneca village,,17,1990,1878,1835,7,132,894,141,944,0,4,1,3,0.147651006711409,0.149364406779661
IL04305,STOCKTON,2,72780,Stockton village,,17,1990,1871,1860,0,104,850,123,1012,0,0,0,0,0.12235294117647098,0.121541501976285
IL08701,MOWEAQUA,2,51232,Moweaqua village,,17,1990,1785,1776,0,106,820,118,957,0,0,0,0,0.129268292682927,0.123301985370951
IL09805,PROPHETSTOWN,2,61977,Prophetstown city,,17,1990,1749,1703,8,88,799,101,928,1,6,0,2,0.11013767209011302,0.10883620689655198
IL02806,ZEIGLER,2,84155,Zeigler city,,17,1990,1746,1721,2,101,763,126,963,0,1,0,1,0.132372214941022,0.130841121495327
IL05703,CHENOA,2,12931,Chenoa city,,17,1990,1732,1681,2,114,828,127,886,0,2,0,0,0.13768115942029002,0.14334085778781
IL00602,DEPUE,2,19499,De Pue village,,17,1990,1729,1061,3,103,750,92,773,0,2,1,1,0.137333333333333,0.11901681759379
IL05903,BUNKER HILL,2,9577,Bunker Hill city,,17,1990,1722,1698,7,115,821,121,889,0,2,3,5,0.14007308160779502,0.136107986501687
IL09912,ROCKDALE,2,64902,Rockdale village,,17,1990,1709,1462,7,94,747,109,803,0,3,0,4,0.125836680053548,0.13574097135741
IL01902,HINCKLEY,2,35268,Hinckley village,,17,1990,1682,1646,5,120,834,111,833,0,1,1,4,0.14388489208633098,0.133253301320528
IL01802,NEOGA,2,51986,Neoga city,,17,1990,1678,1659,2,147,811,113,851,0,0,1,2,0.18125770653514198,0.132784958871915
IL06008,HARTFORD,2,33279,Hartford village,,17,1990,1676,1657,1,111,812,110,848,0,0,0,1,0.136699507389163,0.129716981132075
IL01801,GREENUP,2,31524,Greenup village,,17,1990,1616,1605,2,93,735,105,875,0,2,0,0,0.126530612244898,0.12
IL01701,,2,55106,Oblong village,,17,1990,1616,1601,0,99,739,95,874,0,0,0,0,0.133964817320704,0.10869565217391301
IL10101,CHERRY VALLEY,2,13074,Cherry Valley village,,17,1990,1615,1566,15,119,801,118,775,2,7,2,8,0.14856429463171,0.152258064516129
IL05901,BENLD,2,5209,Benld city,,17,1990,1604,1592,4,103,737,94,859,0,2,0,2,0.13975576662143802,0.109429569266589
IL01629,EAST HAZEL CREST,2,21904,East Hazel Crest village,,17,1990,1570,1091,382,76,582,60,569,38,180,31,202,0.13058419243986302,0.10544815465729301
IL09008,NORTH PEKIN,2,54092,North Pekin village,,17,1990,1556,1535,1,104,778,107,766,0,2,0,2,0.133676092544987,0.139686684073107
IL06106,WAMAC,2,78721,Wamac city,,17,1990,1501,1479,8,112,716,86,773,0,4,0,4,0.156424581005587,0.11125485122897802
IL05618,OAKWOOD HILLS,2,55041,Oakwood Hills village,,17,1990,1498,1457,2,88,769,74,715,0,2,0,0,0.11443433029909,0.10349650349650301
IL08102,CARBON CLIFF,2,11150,Carbon Cliff village,,17,1990,1492,1397,11,109,722,87,729,1,4,1,9,0.15096952908587302,0.119341563786008
IL05011,EARLVILLE,2,21540,Earlville city,,17,1990,1435,1423,0,86,684,85,745,0,0,0,0,0.125730994152047,0.11409395973154401
IL06101,CENTRAL CITY,2,12151,Central City village,,17,1990,1390,1364,11,96,638,96,736,2,4,3,7,0.150470219435737,0.130434782608696
IL01103,,2,39909,Kincaid village,,17,1990,1353,1348,0,105,633,116,716,0,0,0,0,0.165876777251185,0.16201117318435798
IL04610,HERSCHER,2,34384,Herscher village,,17,1990,1278,1267,0,86,634,57,641,0,0,0,0,0.13564668769716098,0.0889235569422777
IL04505,ELBURN,2,22931,Elburn village,,17,1990,1275,1260,0,90,636,83,627,0,0,0,0,0.141509433962264,0.13237639553429
IL05809,WARRENSBURG,2,78916,Warrensburg village,,17,1990,1274,1259,1,88,618,93,641,1,1,0,0,0.14239482200647197,0.145085803432137
IL04918,ROUND LAKE HEIGHTS,2,66053,Round Lake Heights village,,17,1990,1251,1074,2,110,590,73,570,0,1,0,1,0.18644067796610198,0.12807017543859697
IL08417,JEROME,2,38375,Jerome village,,17,1990,1206,1195,3,52,539,50,661,1,1,0,2,0.0964749536178108,0.075642965204236
IL08219,BROOKLYN,2,8667,Brooklyn village,,17,1990,1144,12,1131,0,5,0,7,88,509,112,623,0.0,0.0
IL10008,ENERGY,2,24166,Energy village,,17,1990,1106,1077,12,64,529,52,554,0,7,0,5,0.12098298676748599,0.0938628158844765
IL10110,DURAND,2,21280,Durand village,,17,1990,1100,1092,1,59,520,59,576,1,1,0,0,0.11346153846153802,0.10243055555555601
IL00803,MILLEDGEVILLE,2,49191,Milledgeville village,,17,1990,1076,1066,1,75,490,64,578,1,1,0,0,0.153061224489796,0.11072664359861599
IL05619,,2,72052,Spring Grove village,,17,1990,1066,1052,0,62,547,69,509,0,0,0,0,0.113345521023766,0.13555992141453801
IL09909,MONEE,2,49945,Monee village,,17,1990,1044,978,0,85,543,61,492,0,0,1,1,0.156537753222836,0.12398373983739801
IL05613,RICHMOND,2,63641,Richmond village,,17,1990,1016,997,4,55,486,50,525,0,2,0,2,0.113168724279835,0.0952380952380952
IL01909,KIRKLAND,2,40156,Kirkland village,,17,1990,1011,992,3,57,482,55,520,0,2,0,1,0.11825726141078802,0.105769230769231
IL08107,PORT BYRON,2,61223,Port Byron village,,17,1990,1002,989,0,58,508,59,491,0,0,0,0,0.11417322834645698,0.120162932790224
IL04521,,2,29171,Gilberts village,,17,1990,987,961,0,59,472,58,504,0,0,0,0,0.125,0.115079365079365
IL02906,AVON,2,3207,Avon village,,17,1990,957,954,0,57,457,55,499,0,0,0,0,0.12472647702407001,0.11022044088176401
IL05606,HEBRON,2,33851,Hebron village,,17,1990,809,786,4,56,401,43,403,0,1,1,3,0.139650872817955,0.10669975186104198
IL02809,WEST CITY,2,80073,West City village,,17,1990,747,744,0,45,366,47,380,0,0,0,0,0.12295081967213099,0.123684210526316
IL01636,FOREST VIEW,2,26987,Forest View village,,17,1990,743,723,1,39,344,34,392,0,0,0,1,0.11337209302325599,0.08673469387755099
IL01606,BEDFORD PARK,2,4572,Bedford Park village,,17,1990,566,551,0,35,260,30,303,0,0,0,0,0.134615384615385,0.099009900990099
IL01664,MCCOOK,2,45564,McCook village,,17,1990,235,228,0,19,108,14,124,0,0,0,0,0.175925925925926,0.112903225806452
IL08222,SAUGET,2,67756,Sauget village,,17,1990,197,182,4,10,86,16,99,0,2,0,2,0.116279069767442,0.161616161616162
IL08214,,2,51752,National City village,,17,1990,57,49,8,2,27,4,22,3,4,0,4,0.0740740740740741,0.18181818181818202
IN00100,ADAMS,1,99001,Adams County,1.0,18,1990,31095,30152,35,2307,14953,2204,15577,4,25,3,11,0.15428342138701298,0.14149065930538599
IN00200,ALLEN,1,99003,Allen County,3.0,18,1990,300836,261247,30045,18275,128255,18165,135831,2610,14235,2785,16079,0.142489571556664,0.13373235859266303
IN00300,BARTHOLOMEW,1,99005,Bartholomew County,5.0,18,1990,63657,61479,996,4306,29947,4360,31827,91,520,86,485,0.143787357665209,0.136990605460772
IN00400,BENTON,1,99007,Benton County,7.0,18,1990,9441,9310,6,551,4595,598,4794,0,3,1,3,0.119912948857454,0.12473925740509
IN00500,BLACKFORD,1,99009,Blackford County,9.0,18,1990,14067,13911,6,977,6788,912,7190,1,3,1,4,0.14393046552740102,0.12684283727399198
IN00700,BROWN,1,99013,Brown County,13.0,18,1990,14080,13900,13,890,6986,824,6982,1,8,2,5,0.127397652447753,0.11801775995416801
IN00800,CARROLL,1,99015,Carroll County,15.0,18,1990,18809,18640,19,1256,9166,1184,9554,3,13,1,6,0.137028147501636,0.123927150931547
IN01000,CLARK,1,99019,Clark County,19.0,18,1990,87777,81952,4663,5700,39335,5794,42954,363,2210,372,2493,0.14490911402059198,0.134888485356428
IN01200,CLINTON,1,99023,Clinton County,23.0,18,1990,30974,30378,33,2024,14793,1938,15864,5,18,2,18,0.13682146961400699,0.12216338880484101
IN01400,DAVIESS,1,99027,Daviess County,27.0,18,1990,27533,27302,98,1847,13248,1760,14124,10,53,9,46,0.139417270531401,0.12461059190031198
IN01500,DEARBORN,1,99029,Dearborn County,29.0,18,1990,38835,38339,250,2657,18848,2504,19592,18,122,16,130,0.14096986417657,0.127807268272764
IN01600,DECATUR,1,99031,Decatur County,31.0,18,1990,23645,23371,39,1736,11546,1600,11898,0,22,1,17,0.150355101333795,0.134476382585308
IN01800,DELAWARE,1,99035,Delaware County,35.0,18,1990,119659,110733,7113,12276,52942,13003,58290,748,3237,909,3930,0.23187639303388602,0.22307428375364602
IN02000,ELKHART,1,99039,Elkhart County,39.0,18,1990,156198,144701,7046,10407,71607,10532,74898,644,3411,651,3695,0.14533495328669,0.14061790702021398
IN02200,FLOYD,1,99043,Floyd County,43.0,18,1990,64404,61217,2640,4149,29372,4130,32043,193,1192,235,1450,0.141256979436198,0.128889304996411
IN02600,GIBSON,1,99051,Gibson County,51.0,18,1990,31913,31047,588,2041,14950,1996,16196,43,298,36,298,0.136521739130435,0.123240306248456
IN02700,GRANT,1,99053,Grant County,53.0,18,1990,74169,66980,5002,5174,32590,5399,35227,436,2439,418,2608,0.158760355937404,0.153263122037074
IN02900,HAMILTON,1,99057,Hamilton County,57.0,18,1990,108936,106193,660,6443,52246,6455,54518,32,356,40,320,0.123320445584351,0.118401261968524
IN03000,,1,99059,Hancock County,59.0,18,1990,45527,44933,41,3189,22224,2978,22949,2,22,5,22,0.143493520518359,0.129766002875942
IN03100,HARRISON,1,99061,Harrison County,61.0,18,1990,29890,29547,123,2033,14702,1967,14939,5,62,8,62,0.138280506053598,0.131668786398019
IN03300,HENRY,1,99065,Henry County,65.0,18,1990,48139,47291,471,3326,22802,3197,24644,35,224,28,250,0.14586439785983701,0.129727316993994
IN03400,HOWARD COUNTY,1,99067,Howard County,67.0,18,1990,80827,74706,4365,5108,36132,5192,39288,301,2039,343,2359,0.14137053027787,0.132152311138261
IN03500,HUNTINGTON,1,99069,Huntington County,69.0,18,1990,35427,34817,50,2490,16951,2391,18061,4,28,4,24,0.146893988555247,0.13238469630696
IN03600,JACKSON,1,99071,Jackson County,71.0,18,1990,37730,37216,132,2617,18053,2599,19236,9,71,11,67,0.14496205616795002,0.135111249740071
IN03900,JEFFERSON,1,99077,Jefferson County,77.0,18,1990,29797,29107,358,2285,14224,2349,14957,28,180,31,183,0.16064398200225,0.157050210603731
IN04000,JENNINGS,1,99079,Jennings County,79.0,18,1990,23661,23279,207,1789,11548,1705,11799,11,111,8,98,0.15491860062348498,0.14450377150606
IN04300,KOSCIUSKO,1,99085,Kosciusko County,85.0,18,1990,65294,63295,298,4375,31361,4479,32697,19,176,21,133,0.139504480086732,0.136985044499495
