ORI,AGENCY,Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispanic_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispanic_Males_All,Age1524_HispanicM,Age1524_HispanicF,Hispanic_Females_All,Pct_WYM,Pct_WYF
OH03119,LOCKLAND,2,44366,Lockland village,,39,2010,3449.0,2223.0,1030.0,146.0,167.0,1109.0,144.0,1114.0,77.0,558.0,83.0,472.0,86.0,24.0,14.0,60.0,0.15058611361587015,0.12926391382405744
OH03701,LOGAN,2,44632,Logan city,,39,2010,7152.0,6972.0,56.0,55.0,438.0,3223.0,456.0,3749.0,6.0,28.0,3.0,28.0,25.0,6.0,4.0,30.0,0.1358982314613714,0.1216324353160843
OH04901,LONDON,2,44674,London city,,39,2010,9904.0,8830.0,596.0,169.0,507.0,4088.0,579.0,4742.0,46.0,322.0,36.0,274.0,91.0,17.0,14.0,78.0,0.12402152641878668,0.12210037958667228
OH04705,LORAIN,2,44856,Lorain city,,39,2010,64097.0,43505.0,11262.0,16177.0,2475.0,20425.0,2563.0,23080.0,959.0,5449.0,971.0,5813.0,7994.0,1375.0,1278.0,8183.0,0.1211750305997552,0.11104852686308493
OH07814,LORDSTOWN,2,44912,Lordstown village,,39,2010,3417.0,3251.0,109.0,30.0,173.0,1577.0,174.0,1674.0,7.0,52.0,7.0,57.0,13.0,3.0,4.0,17.0,0.10970196575776793,0.1039426523297491
OH00302,LOUDONVILLE,2,45066,Loudonville village,,39,2010,2641.0,2583.0,16.0,26.0,152.0,1207.0,133.0,1376.0,2.0,12.0,1.0,4.0,13.0,3.0,4.0,13.0,0.1259320629660315,0.09665697674418604
OH07607,LOUISVILLE,2,45094,Louisville city,,39,2010,9186.0,9033.0,16.0,117.0,515.0,4196.0,585.0,4837.0,0.0,8.0,0.0,8.0,57.0,6.0,13.0,60.0,0.12273593898951382,0.12094273309902832
OH03120,LOVELAND,2,45108,Loveland city,,39,2010,12081.0,11300.0,253.0,295.0,626.0,5390.0,598.0,5910.0,29.0,130.0,19.0,123.0,144.0,34.0,22.0,151.0,0.11614100185528756,0.1011844331641286
OH01827,LYNDHURST,2,45556,Lyndhurst city,,39,2010,14001.0,12646.0,901.0,185.0,476.0,5850.0,473.0,6796.0,60.0,387.0,70.0,514.0,89.0,11.0,15.0,96.0,0.08136752136752137,0.06959976456739259
OH05801,MCCONNELSVILLE,2,45822,McConnelsville village,,39,2010,1784.0,1665.0,42.0,24.0,95.0,747.0,101.0,918.0,3.0,18.0,3.0,24.0,16.0,4.0,3.0,8.0,0.12717536813922356,0.11002178649237472
OH03121,MADEIRA,2,46312,Madeira city,,39,2010,8726.0,8115.0,222.0,198.0,476.0,3910.0,427.0,4205.0,11.0,100.0,16.0,122.0,110.0,16.0,14.0,88.0,0.1217391304347826,0.10154577883472056
OH07001,MANSFIELD,2,47138,Mansfield city,,39,2010,47821.0,35058.0,10592.0,921.0,2215.0,17476.0,1977.0,17582.0,1262.0,6722.0,577.0,3870.0,525.0,105.0,61.0,396.0,0.12674525062943465,0.11244454555795699
