Govt_level,place_fips,placename,CNTY,STATEFP,YEAR,POP100,White_count,Black_count,Hispan_count,Age1524_WhiteM,White_Males_All,Age1524_WhiteF,White_Females_All,Age1524_BlackM,Black_Males_All,Age1524_BlackF,Black_Females_All,Hispan_Males_All,Age1524_HispanM,Age1524_HispanF,Hispan_Females_All,Pct_WYM,Pct_WYF
1,99149,"Rutherford County, Tennessee",149,47,2000,182023.0,156050.0,17312.0,5065.0,13165.0,77597.0,12917.0,78453.0,1715.0,8324.0,1914.0,8988.0,3027.0,831.0,419.0,2038.0,0.16965862082296995,0.16464634876932685
1,99151,"Scott County, Tennessee",151,47,2000,21127.0,20817.0,19.0,120.0,1606.0,10269.0,1472.0,10548.0,2.0,11.0,2.0,8.0,64.0,11.0,5.0,56.0,0.15639302755867174,0.13955252180508154
1,99153,"Sequatchie County, Tennessee",153,47,2000,11370.0,11218.0,22.0,93.0,698.0,5559.0,665.0,5659.0,4.0,11.0,2.0,11.0,56.0,16.0,5.0,37.0,0.125562151466091,0.11751192790245626
1,99155,"Sevier County, Tennessee",155,47,2000,71170.0,69230.0,396.0,884.0,4285.0,33834.0,4114.0,35396.0,33.0,215.0,25.0,181.0,470.0,97.0,68.0,414.0,0.12664775078323579,0.11622782235280822
1,99157,"Shelby County, Tennessee",157,47,2000,897472.0,424834.0,435824.0,23364.0,26678.0,207249.0,25237.0,217585.0,33423.0,201569.0,35726.0,234255.0,14363.0,3688.0,1751.0,9001.0,0.12872438467736877,0.115986855711561
1,99159,"Smith County, Tennessee",159,47,2000,17712.0,16900.0,448.0,200.0,1085.0,8316.0,1034.0,8584.0,33.0,206.0,35.0,242.0,125.0,26.0,10.0,75.0,0.13047138047138046,0.12045666356011184
1,99161,"Stewart County, Tennessee",161,47,2000,12370.0,11785.0,159.0,124.0,695.0,5888.0,632.0,5897.0,14.0,89.0,10.0,70.0,59.0,6.0,9.0,65.0,0.11803668478260869,0.1071731388841784
1,99163,"Sullivan County, Tennessee",163,47,2000,153048.0,147771.0,2888.0,1090.0,8123.0,71202.0,8005.0,76569.0,288.0,1470.0,199.0,1418.0,567.0,101.0,89.0,523.0,0.11408387404848179,0.10454622627956484
1,99165,"Sumner County, Tennessee",165,47,2000,130449.0,119344.0,7540.0,2291.0,7772.0,58510.0,7243.0,60834.0,517.0,3518.0,587.0,4022.0,1284.0,311.0,190.0,1007.0,0.13283199453084943,0.11906170891277904
1,99167,"Tipton County, Tennessee",167,47,2000,51271.0,39920.0,10202.0,622.0,2713.0,19862.0,2472.0,20058.0,842.0,4794.0,817.0,5408.0,336.0,61.0,41.0,286.0,0.1365924881683617,0.12324259647023632
